# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Выполнить
$SSL_DialogueMood_10	Настроение Счастье
$SSL_DialogueMood_11	Настроение Грусть
$SSL_DialogueMood_12	Настроение Удивление
$SSL_DialogueMood_13	Настроение Озадаченный
$SSL_DialogueMood_14	Настроение Отвращение
$SSL_DialogueMood_15	Бой Гнев
$SSL_DialogueMood_16	Бой Крик

$SSL_Phoneme_0	0: Aah
$SSL_Phoneme_1	1: BigAah
$SSL_Phoneme_2	2: BMP
$SSL_Phoneme_3	3: ChjSh
$SSL_Phoneme_4	4: DST
$SSL_Phoneme_5	5: Eee
$SSL_Phoneme_6	6: Eh
$SSL_Phoneme_7	7: FV
$SSL_Phoneme_8	8: i
$SSL_Phoneme_9	9: k
$SSL_Phoneme_10	10: N
$SSL_Phoneme_11	11: Oh
$SSL_Phoneme_12	12: OohQ
$SSL_Phoneme_13	13: R
$SSL_Phoneme_14	14: Th
$SSL_Phoneme_15	15: W

$SSL_Modifier_0	0: BlinkL
$SSL_Modifier_1	1: BlinkR
$SSL_Modifier_2	2: BrowDownL
$SSL_Modifier_3	3: BrownDownR
$SSL_Modifier_4	4: BrowInL
$SSL_Modifier_5	5: BrowInR
$SSL_Modifier_6	6: BrowUpL
$SSL_Modifier_7	7: BrowUpR
$SSL_Modifier_8	8: LookDown
$SSL_Modifier_9	9: LookLeft
$SSL_Modifier_10	10: LookRight
$SSL_Modifier_11	11: LookUp
$SSL_Modifier_12	12: SquintL
$SSL_Modifier_13	13: SquintR

$SSL_ScaleMode_Linear	Линейный
$SSL_ScaleMode_Square	Квадратичный
$SSL_ScaleMode_Cubic	Кубический
$SSL_ScaleMode_Exponential	Экспоненциальный

$SSL_ModifyingExpression	Модификаторы Эмоций
$SSL_ExpressionScaling	Алгоритм масштабирования
$SSL_ExpressionScalingHighlight	Алгоритм изменения эмоции относительно роста наслаждения.\nЛинейный: Линейное увеличение | Квадратичный: Резкое увеличение вначале, медленный рост в середине и быстрый рост близко к оргазму.\nCubic: Медленное начало, постепенное нарастание по мере приближения оргазма | Экспоненциальный: Очень медленное начало, быстрое нарастание по мере приближения оргазма
$SSL_ExpressionsNormal	Доступно в нормальных сценах
$SSL_ExpressionsVictim	Доступно как жертве
$SSL_ExpressionsAggressor	Доступно как агрессору
$SSL_EditFemale	Редактировать данные женщин
$SSL_TestOnPlayer	Тестировать на игроке

$SSL_WarnTestExpression{}	Тестируем выбранную эмоцию на {}. Продолжить?
$SSL_WarnTestExpressionLowOrHight	Тестировать минимальные(слева) или максимальные(справа) вариации профиля текущей эмоции?
$SSL_WarnTestExpressionWithOpenMouth	Протестировать текущую эмоцию с открытым ртом?
$SSL_StartTestExpression{}	Тестируем эмоцию {}. Значения сбросятся через 15 секунд.\nЗакройте меню чтобы продолжить...
$SSL_AppliedTestExpression	Эмоция применена, сброс через 15 секунд...
$SSL_RestoredTestExpression	Эмоции сброшены.

$SSL_EditExpressions_0	Данные Эмоций (минимум)
$SSL_EditExpressions_1	Данные эмоций (максимум)
$SSL_MoodType	Тип настроения
$SSL_MoodStrength	Сила настроения
$SSL_Phoneme	Фонемы
$SSL_Modifier	Модификаторы

$SSL_PrevPhase	<< Предыдущая фаза
$SSL_NextPhase	Следующая фаза >>

# ------ Sync lips config
$SSL_SyncLipsConfig	Конфигурация синхронизации губ

$SSL_Sync	Синхронно
$SSL_Async	Несинхронно
$SSL_LipsSoundTime	Поведение при синхронизации губ
$SSL_LipsSoundTimeHighlight	Синхронно: Губы начинают закрыватся, когда стон заканчивается.\nAsync: Губы закрываются с небольшой задержкой, независимо от состояния звука.
$SSL_bLipsFixedValue	Фиксированное значение губ
$SSL_bLipsFixedValueHighlight	Интенсивность синхронизации губ должна увеличиваться по мере увеличения удовольствия.

# ------------------ Strip Item Editor --------------------------------------------------
$SSL_StripEditor	Редактор раздевания

$SSL_Equipment{}	Снаряжение {}
$SSL_FullInventory	Показать весь инвентарь персонажа
$SSL_AlwaysRemove	Всегда удалять
$SSL_NeverRemove	Никогда не удалять
$SSL_StripItemSlots{}	Снять вещи из слотов: {}


# ------------------ Rebuild & Clean --------------------------------------------------
$SSL_RebuildClean	Дебаг
$SSL_Installation	Установка

$SSL_bDebugMode	Режим отладки/Разработки (моддерам)
$SSL_bDebugModeHighlight	Включает дополнительное логирование. Может немного замедлить работу, но позволяет отлавливать ошибки.
$SSL_StopCurrentAnimations	Остановить текущую анимацию
$SSL_StopRunningAnimations	Все запущенные анимации остановлены.
$SSL_ResetStripOverrides	Сброс опций редактора раздевания
$SSL_CleanSystem	Реинициализировать SexLab
$SSL_WarnCleanSystem	Процедура очистки сбросит все внутренние настройки SexLab до первоначальных значений, остановит все запущенные анимации и остановит выполнение скриптов. Вы действительно хотите продолжить?
$SSL_Resetting	Сброс...
$SSL_CurrentlyInstalling	Инициализация SexLab...
$SSL_ForceRegisterVoices	Сохранить настройки голосов
$SSL_ForceRegisterVoicesHighlight	Принудительно сохраняет настройки голосов персонажа и NPC. Это так же происходит автоматически при переходе в другую локацию.

$RegistryInfo	Статус реестра
$SSL_Animations	Анимации
$SSL_Voices	Голоса
$SSL_Expressions	Эмоции

# ------ Available Strap-ons
$SSL_AvailableStrapons	Доступные страпоны
$SSL_RebuildStraponList	Переустановить страпоны
$SSL_FoundStrapon	Обнаружены поддерживаемые страпоны. Установка завершена.
$SSL_NoStrapons	Поддерживаемых страпонов не найдено. Установка отменена.


# ------------------ Legacy --------------------------------------------------
$SSL_Neutral	Нейтральный
$SSL_Unsullied	Незапятнанный
$SSL_CleanCut	Безупречный
$SSL_PrimProper	Благопристойный
$SSL_Virtuous	Добродетельный
$SSL_EverFaithful	Верный
$SSL_Ladylike	Женственный
$SSL_Lordly	Благородный
$SSL_Saintly	Праведный
$SSL_Experimenting	Экспериментирующий
$SSL_UnusuallyHorny	Перевозбуждённый
$SSL_Promiscuous	Неразборчивый
$SSL_SexualDeviant	Девиантное поведение
$SSL_Debaucherous	Распущенный
$SSL_Nymphomaniac	Нимфомания
$SSL_Depraved	Развратность
$SSL_Hypersexual	Гиперсексуальность
