# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Click Here
$SSL_LipsSoundTimeHighlight	Sync: Lips begin closing when the moan has finished playing. \nAsync: Lips close after a short delay, independent of sound state.
$SSL_bLipsFixedValue	Lips Fixed Value
$SSL_bLipsFixedValueHighlight	If lip sync intensity should increase as enjoyment increases.

# ------------------ Strip Item Editor --------------------------------------------------
$SSL_StripEditor	Strip Item Editor

$SSL_Equipment{}	Equipment - {}
$SSL_FullInventory	Show Full Inventory
$SSL_AlwaysRemove	Always Remove
$SSL_NeverRemove	Never Remove
$SSL_StripItemSlots{}	Biped Slots: {}


# ------------------ Rebuild & Clean --------------------------------------------------
$SSL_RebuildClean	Debug
$SSL_Installation	Installation

$SSL_bDebugMode	Debug Mode
$SSL_bDebugModeHighlight	Enable extra logs for thread and scene info.\nThis can slow down the framework but may help troubleshooting issues.
$SSL_StopCurrentAnimations	Stop Current Animations
$SSL_StopRunningAnimations	All currently running animations are now halting
$SSL_ResetStripOverrides	Reset Strip Overrides
$SSL_CleanSystem	Reinitialize Framework
$SSL_WarnCleanSystem	Running this will re-install the framework, resetting most script internal data. Do you want to continue?
$SSL_Resetting	Resetting...
$SSL_CurrentlyInstalling	SexLab is being initialized...
$SSL_ForceRegisterVoices	Legacy: Force Registration
$SSL_ForceRegisterVoicesHighlight	Send mod events which used to be send by SexLab to notify 3rd party mods that they may now register their own voices/expressions.\nSexLab P+ no longer sends these events, so this option has to be used if you are using mods which require this event to be sent.

$RegistryInfo	Registry Status
$SSL_Animations	Animations
$SSL_Voices	Voices
$SSL_Expressions	Expressions

# ------ Available Strap-ons
$SSL_AvailableStrapons	Available Strap-ons
$SSL_RebuildStraponList	Rebuild Strap-on List
$SSL_FoundStrapon	Found and saved strap-ons for use
$SSL_NoStrapons	Found no supported strap-on mods


# ------------------ Legacy --------------------------------------------------
$SSL_Neutral	Neutral
$SSL_Unsullied	Unsullied
$SSL_CleanCut	Clean Cut
$SSL_PrimProper	Prim & Proper
$SSL_Virtuous	Virtuous
$SSL_EverFaithful	Ever Faithful
$SSL_Ladylike	Ladylike
$SSL_Lordly	Lordly
$SSL_Saintly	Saintly
$SSL_Experimenting	Experimenting
$SSL_UnusuallyHorny	Unusually Horny
$SSL_Promiscuous	Promiscuous
$SSL_SexualDeviant	Sexual Deviant
$SSL_Debaucherous	Debaucherous
$SSL_Nymphomaniac	Nymphomaniac
$SSL_Depraved	Depraved
$SSL_Hypersexual	Hypersexual
